开发项目WBS,,,,,,,,,,,"编码：GCBT-WBS007
  版本：第07版
  生效日期：2024年9月",,,,,,,,
项目名称,,TJ2HP新风机,,,,项目课题组长,,立项时间,,,,,,,,,,,
项目描述,,交付新风机电控总成（主驱一体板、散热片、一体板底托、机架钣金、温湿度传感器、液位传感器、端子排、线束、端子排钣金），开发主驱一体板硬件、压缩机驱动软件（三个型号压机）,,,,,,,,,,,,,,,,,
项目组成员,,李庆飞、刘恒、牛文广、初旭磊、查良、张宗法、马宏杰、刘峰、赵国峰、田光伟,,,,,,,,,,,,,,,,,
序号,项目阶段,,任务名称,任务说明,,,责任人,计划开始时间,计划结束时间,输入,"交付物
  （iHaier在线或者线下会签）",会签节点,文档模板,,,,,,
1,产品定义,,★需求分析,客户需求收集：客户需求文档,,,牛文广,2026/8/20,2026/9/1,需求输入,客户需求确认清单,"编制：产品经理
 会签：项目经理、市场经理",       ,,,,,,
2,,,,根据用户需求转换成具体产品规格，产品规格需包含产品具体的功能、性能参数要求、符合的认证测试标准等；主关器件清单、Bom 竞品方案对比，方案差异化点或亮点,,,牛文广,2026/8/20,2026/9/1,产品规格书、被控器件规格书、BOM、对比方案等、客户需求确认清单,控制器PRD（硬件）、功能书初稿（软件）、客户需求确认清单,"编制：软件工程师、硬件工程师、质量工程师
 审核：设计部门长、质量部门长",,,,,,,
3,,,,需求评审,,,牛文广,2026/9/1,2026/9/1,客户需求确认清单,需求评审表、项目立项书、MRD,"编制：产品经理
 会签：项目经理、硬件工程师、软件工程师、测试工程师、质量、采购、市场经理
 批准：市场部门长、供应链部门长、设计部门长",,,,,,,
4,,,成本评估,硬件方案设计，原理图、初版BOM\新物料选型采购、设计评估,,,李庆飞,2026/8/25,2026/8/28,控制器PRD（硬件）、客户需求确认清单\原理图、初版BOM,原理图、初版BOM\新物料选型清单,"编制：硬件工程师
 会签：产品经理、项目经理、采购
 批准：设计部门长、供应链部门长、市场部门长",,,,,,,
5,,,,成本评估,,,牛文广,2026/8/28,2026/8/28,初版BOM,初版报价,"编制：产品经理
 会签：市场经理、硬件工程师、项目经理
 批准：市场部门长、供应链部门长",                         ,,,,,,
6,,,测试计划,根据客户需求、产品功能、开发质量控制要求制定测试计划，提前规划协调测试资源（如测试环境、样机数量等）、排期，核算测试投入，测试BOM、客户测试要求输入及测试标准测试标准标准号（依据）,,,初旭磊,2026/9/1,2026/9/4,客户需求确认清单、客户标准、企业标准,测试计划,"编制：质量、测试工程师
 会签：硬件工程师、软件工程师
 批准：设计部门长、质量部门长",,,,,,,
7,,,长周期物料计划,长周期物料清单、寻源采购设计确认、认证周期，安规物料？,,,马宏杰,,,初版BOM,长周期物料计划,"编制：采购
 会签：硬件工程师、市场经理",,,,,,,
8,项目立项,,★立项评审,根据前期调研结论，评估是否立项，客户需求确认清单、项目风险,,,牛文广,2026/9/5,2026/9/5,研发排期、投入产出、项目风险（采购、市场、产品、研发、质量）、客户需求确认清单,立项书,"编制：产品经理
 会签：项目经理、硬件工程师、软件工程师、测试工程师、质量、采购、市场经理
 批准：市场部门长、供应链部门长、设计部门长、财务部门长、总经理",                      ,,,,,,
9,,,项目计划,确定项目关键节点计划、项目风险梳理,,,田光伟,2026/9/5,2026/9/5,客户需求确认清单,WBS,"编制：项目经理
 会签：项目经理、硬件工程师、软件工程师、测试工程师、质量、采购、市场经理
 批准：市场部门长、供应链部门长、设计部门长",              ,,,,,,
10,,,项目启动会,明确项目范围、项目计划、项目成员、项目风险、沟通机制等内容,,,田光伟,2026/9/8,2026/9/8,立项书、项目计划、项目风险、测试计划等,项目启动会议纪要,"                     编制：项目经理
 会签：项目经理、硬件工程师、软件工程师、测试工程师、质量、采购、市场经理
    ",,,,,,,
11,产品开发,概要设计,★硬件方案设计,控制器设计说明书、电气接线图、原理图、安规BOM（设计选型）,,,李庆飞,2026/9/1,2026/9/4,需求文档（规格书、需求表、对比方案等）,原理图、设计规格书、DFMEA初稿、设计雷区表,"编制：硬件工程师
 会签：软件工程师、采购、测试工程师、项目经理
 批准：设计部门长",9.10评审陈总要求加入雷区设计,,,,,,
12,,,★驱动软件方案设计,变频驱动软件概要设计说明书,,,刘恒,2026/9/1,2026/9/18,需求文档（规格书、需求表、对比方案等）,动软件概要设计说明书,"编制：软件工程师
 会签：测试工程师、项目经理
 批准：设计部门长",                            ,,,,,,
14,,,初板设计评审,软硬件概要设计资料评审,,,田光伟,2026/9/22,2026/9/22,硬件设计说明书、原理图、初版BOM、软件设计说明书,控制器PRD、功能书初稿,"编制：项目经理
 会签：软件工程师、硬件工程师、测试工程师、采购、质量、工艺工程师、市场经理
 批准：设计部门长、供应链部门长、市场部门长",,,,,,,
15,,详细设计,硬件详细设计,PCB图纸、评审、与板厂沟通加工工艺,,,李庆飞,2026/9/5,2026/9/15,原理图、需求文档、BOM、设计雷区、客户需求确认清单、DFMEA,硬件原理图（SCH格式、PDF格式）、PCB 图、Gerber文件、功能书及评审资料,"编制：硬件工程师
 会签：软件工程师、采购、测试工程师、项目经理、工艺工程师
 批准：设计部门长",       ,,,,,,
16,,,生产检测工装设计,生产检测工装及说明,,,李庆飞,2026/9/5,2026/9/15,产品规格书、原理图,生产检测工装原理图、技术条件及评审资料,"编制：硬件工程师
 会签：软件工程师、采购、项目经理、工艺工程师
 批准：设计部门长、供应链部门长",              ,,,,,,
17,,,生产检测软件,待跟天加确认,,,李庆飞,,,概要设计说明书、需求文档、BOM、设计雷区、客户需求确认清单、DFMEA,源代码、执行文件、功能书及评审资料,"编制：软件工程师
 会签：测试工程师、项目经理
 批准：设计部门长",,,,,,,
18,,,驱动软件详细设计,根据功能进行编码设计、评审,,,刘恒,2026/9/19,2026/10/15,概要设计说明书、需求文档、BOM、设计雷区、客户需求确认清单、DFMEA,源代码、执行文件、功能书及评审资料,"编制：软件工程师
 会签：测试工程师、项目经理
 批准：设计部门长",              ,,,,,,
19,,,详细设计评审,软硬件详细设计资料评审,,,田光伟,2026/10/16,2026/10/16,硬件设计说明书、原理图、PCB、研发BOM、设计说明书（规格书）,方案及评审资料，会议纪要,"编制：项目经理
 会签：软件工程师、硬件工程师、测试工程师、采购、质量、工艺工程师、市场经理
 批准：设计部门长、供应链部门长、市场部门长",              ,,,,,,
